timestamp,x,y,theta,front_left,front,front_right,rear
12664.543973135,0.0,0.0,0.0,134,112,82,203
12664.756165946,0.0,0.0,0.0,134,112,82,203
12664.756616203,0.0,0.0,-0.0,134,112,82,203
12664.801209056,0.0,-0.0,-0.38,145,112,82,203
12664.801618968,0.0,-0.0,-0.39,145,112,82,203
12664.802002018,0.0,-0.0,-0.4,145,112,82,203
12664.871126971,0.0,-0.0,-0.61,185,109,82,220
12664.952844767,0.01,-0.0,-0.84,185,109,82,220
12665.163920288,0.01,-0.01,-1.33,179,103,79,223
12665.205497077,0.01,-0.01,-1.34,179,103,79,223
12665.290774632,0.01,-0.01,-1.61,179,103,79,223
12665.466163747,0.01,-0.01,-2.06,167,99,81,222
12665.584961081,0.01,-0.01,-2.14,157,100,86,220
12665.593434865,0.01,-0.01,-2.28,157,100,86,220
12665.662385439,0.0,-0.01,-2.47,149,102,88,244
12665.815494152,0.0,-0.01,-2.81,146,102,88,244
12665.853251315,0.0,-0.01,-2.96,146,113,88,265
12666.007785481,-0.0,-0.01,-3.26,144,111,89,251
12666.145094668,-0.0,-0.01,-3.45,144,111,89,251
12666.416124959,-0.01,-0.01,-4.24,139,108,232,220
12666.424698261,-0.01,-0.01,-4.24,139,108,232,220
12666.424976063,-0.01,-0.01,-4.26,139,108,232,220
12666.639585987,-0.01,-0.01,-4.41,139,108,232,220
12666.66470521,-0.01,-0.01,-4.73,134,125,222,206
12666.665032696,-0.01,-0.01,-4.88,150,125,222,206
12666.820343394,-0.01,-0.0,-5.2,150,136,244,199
12667.032322269,-0.0,-0.0,-5.69,162,166,230,196
12667.350838391,-0.0,-0.0,-5.7,162,166,230,196
12667.506879445,0.0,-0.0,-6.42,187,153,202,215
12667.507286891,0.0,-0.0,-6.43,187,153,202,215
12667.507510873,0.0,-0.0,-6.46,187,153,202,215
12667.550189105,0.0,-0.0,-6.92,179,142,188,205
12667.550500191,0.0,-0.0,-6.92,179,142,188,205
12667.744515155,0.0,-0.0,-7.01,179,142,188,205
12667.75478574,0.01,-0.0,-7.39,173,134,176,214
12667.810318128,0.01,-0.01,-7.59,162,127,161,213
12667.870892554,0.01,-0.01,-7.72,162,127,161,213
12668.044271441,0.01,-0.01,-8.1,148,123,153,212
12668.094481055,0.01,-0.01,-8.24,141,122,148,220
12668.251054121,0.0,-0.01,-8.59,139,120,148,220
12668.363900802,0.0,-0.01,-8.85,139,120,142,237
12668.568461962,0.0,-0.01,-8.92,139,120,142,237
12668.591446389,0.0,-0.01,-9.34,139,118,143,223
12668.637344921,0.0,-0.01,-9.42,147,118,143,223
12668.722398396,-0.0,-0.01,-9.69,147,114,167,211
12668.993019605,-0.0,-0.01,-10.13,141,107,165,198
12669.149822846,-0.0,-0.01,-10.13,141,107,165,198
12669.184596806,-0.01,-0.01,-10.78,146,136,189,181
12669.185121393,-0.01,-0.01,-10.79,146,136,189,181
