Generation 1: Best solution: (array([27.05993987, 25.07604487,  1.17267217]), 0.10328533379459515, 27), Fitness: 0.10328533379459515
Generation 2: Best solution: (array([12.48496515, 22.12299436, 24.81674137]), 0.11563759592900268, 25), Fitness: 0.11563759592900268
Generation 3: Best solution: (array([12.48496515, 22.12299436, 24.81674137]), 0.11563759592900268, 0), Fitness: 0.11563759592900268
Generation 4: Best solution: (array([6.48107301, 2.93091131, 2.34173984]), 0.5097400325833825, 29), Fitness: 0.5097400325833825
Generation 5: Best solution: (array([6.48107301, 2.93091131, 2.34173984]), 0.5097400325833825, 0), Fitness: 0.5097400325833825
Generation 6: Best solution: (array([6.48107301, 2.93091131, 2.34173984]), 0.5097400325833825, 0), Fitness: 0.5097400325833825
Generation 7: Best solution: (array([6.48107301, 2.93091131, 2.34173984]), 0.5097400325833825, 0), Fitness: 0.5097400325833825
Generation 8: Best solution: (array([6.48107301, 2.93091131, 2.34173984]), 0.5097400325833825, 0), Fitness: 0.5097400325833825
Generation 9: Best solution: (array([6.48107301, 2.93091131, 2.34173984]), 0.5097400325833825, 0), Fitness: 0.5097400325833825
Generation 10: Best solution: (array([6.48107301, 2.93091131, 2.34173984]), 0.5097400325833825, 0), Fitness: 0.5097400325833825
Generation 11: Best solution: (array([6.48107301, 2.93091131, 2.34173984]), 0.5097400325833825, 0), Fitness: 0.5097400325833825
Generation 12: Best solution: (array([6.48107301, 2.93091131, 2.34173984]), 0.5097400325833825, 0), Fitness: 0.5097400325833825
Generation 13: Best solution: (array([6.48107301, 2.93091131, 2.34173984]), 0.5097400325833825, 0), Fitness: 0.5097400325833825
Generation 14: Best solution: (array([6.48107301, 2.93091131, 2.34173984]), 0.5097400325833825, 0), Fitness: 0.5097400325833825
Generation 15: Best solution: (array([6.48107301, 2.93091131, 2.34173984]), 0.5097400325833825, 0), Fitness: 0.5097400325833825
Generation 16: Best solution: (array([6.48107301, 2.93091131, 2.34173984]), 0.5097400325833825, 0), Fitness: 0.5097400325833825
Generation 17: Best solution: (array([6.48107301, 2.93091131, 2.34173984]), 0.5097400325833825, 0), Fitness: 0.5097400325833825
Generation 18: Best solution: (array([6.48107301, 2.93091131, 2.34173984]), 0.5097400325833825, 0), Fitness: 0.5097400325833825
Generation 19: Best solution: (array([6.48107301, 2.93091131, 2.34173984]), 0.5097400325833825, 0), Fitness: 0.5097400325833825
Generation 20: Best solution: (array([6.48107301, 2.93091131, 2.34173984]), 0.5097400325833825, 0), Fitness: 0.5097400325833825
Generation 21: Best solution: (array([6.48107301, 2.93091131, 2.34173984]), 0.5097400325833825, 0), Fitness: 0.5097400325833825
Generation 22: Best solution: (array([6.48107301, 2.93091131, 2.34173984]), 0.5097400325833825, 0), Fitness: 0.5097400325833825
Generation 23: Best solution: (array([6.48107301, 2.93091131, 2.34173984]), 0.5097400325833825, 0), Fitness: 0.5097400325833825
Generation 24: Best solution: (array([6.48107301, 2.93091131, 2.34173984]), 0.5097400325833825, 0), Fitness: 0.5097400325833825
Generation 25: Best solution: (array([6.48107301, 2.93091131, 2.34173984]), 0.5097400325833825, 0), Fitness: 0.5097400325833825
