Generation 1: Best solution: (array([10.01071689, 14.54508991, 23.55547838]), 0.1393787410106364, 0), Fitness: 0.1393787410106364
Generation 2: Best solution: (array([29.50415103, 14.54508991,  1.37240407]), 0.15145649090631305, 100), Fitness: 0.15145649090631305
Generation 3: Best solution: (array([29.50415103, 14.54508991,  1.37240407]), 0.15145649090631305, 0), Fitness: 0.15145649090631305
Generation 4: Best solution: (array([29.50415103, 14.54508991,  1.37240407]), 0.15145649090631305, 0), Fitness: 0.15145649090631305
Generation 5: Best solution: (array([29.50415103, 14.54508991,  1.37240407]), 0.15145649090631305, 0), Fitness: 0.15145649090631305
Generation 6: Best solution: (array([29.50415103, 14.54508991,  1.37240407]), 0.15145649090631305, 0), Fitness: 0.15145649090631305
Generation 7: Best solution: (array([29.50415103, 14.54508991,  1.37240407]), 0.15145649090631305, 0), Fitness: 0.15145649090631305
Generation 8: Best solution: (array([29.50415103, 14.54508991,  1.37240407]), 0.15145649090631305, 0), Fitness: 0.15145649090631305
Generation 9: Best solution: (array([29.50415103, 14.54508991,  1.37240407]), 0.15145649090631305, 0), Fitness: 0.15145649090631305
Generation 10: Best solution: (array([29.50415103, 14.54508991,  1.37240407]), 0.15145649090631305, 0), Fitness: 0.15145649090631305
Generation 11: Best solution: (array([29.50415103, 14.54508991,  1.37240407]), 0.15145649090631305, 0), Fitness: 0.15145649090631305
Generation 12: Best solution: (array([29.50415103, 14.54508991,  1.37240407]), 0.15145649090631305, 0), Fitness: 0.15145649090631305
Generation 13: Best solution: (array([29.50415103, 14.54508991,  1.37240407]), 0.15145649090631305, 0), Fitness: 0.15145649090631305
Generation 14: Best solution: (array([29.50415103, 14.54508991,  1.37240407]), 0.15145649090631305, 0), Fitness: 0.15145649090631305
Generation 15: Best solution: (array([29.50415103, 14.54508991,  1.37240407]), 0.15145649090631305, 0), Fitness: 0.15145649090631305
Generation 16: Best solution: (array([29.50415103, 14.54508991,  1.37240407]), 0.15145649090631305, 0), Fitness: 0.15145649090631305
Generation 17: Best solution: (array([29.50415103, 14.54508991,  1.37240407]), 0.15145649090631305, 0), Fitness: 0.15145649090631305
Generation 18: Best solution: (array([29.50415103, 14.54508991,  1.37240407]), 0.15145649090631305, 0), Fitness: 0.15145649090631305
Generation 19: Best solution: (array([29.50415103, 14.54508991,  1.37240407]), 0.15145649090631305, 0), Fitness: 0.15145649090631305
Generation 20: Best solution: (array([29.50415103, 14.54508991,  1.37240407]), 0.15145649090631305, 0), Fitness: 0.15145649090631305
Generation 21: Best solution: (array([29.50415103, 14.54508991,  1.37240407]), 0.15145649090631305, 0), Fitness: 0.15145649090631305
Generation 22: Best solution: (array([29.50415103, 14.54508991,  1.37240407]), 0.15145649090631305, 0), Fitness: 0.15145649090631305
Generation 23: Best solution: (array([29.50415103, 14.54508991,  1.37240407]), 0.15145649090631305, 0), Fitness: 0.15145649090631305
Generation 24: Best solution: (array([29.50415103, 14.54508991,  1.37240407]), 0.15145649090631305, 0), Fitness: 0.15145649090631305
Generation 25: Best solution: (array([29.50415103, 14.54508991,  1.37240407]), 0.15145649090631305, 0), Fitness: 0.15145649090631305
