Generation 1: Best solution: (array([27.38010821,  2.19374746,  3.5877993 ]), 0.12801034195133207, 0), Fitness: 0.12801034195133207
Generation 2: Best solution: (array([11.98725113,  1.59488759,  1.34889701]), 0.1559887301757007, 207), Fitness: 0.1559887301757007
Generation 3: Best solution: (array([11.98725113,  1.59488759,  1.34889701]), 0.1559887301757007, 0), Fitness: 0.1559887301757007
Generation 4: Best solution: (array([11.98725113,  1.59488759,  1.34889701]), 0.1559887301757007, 0), Fitness: 0.1559887301757007
Generation 5: Best solution: (array([11.98725113,  1.59488759,  1.34889701]), 0.1559887301757007, 0), Fitness: 0.1559887301757007
Generation 6: Best solution: (array([11.98725113,  1.59488759,  1.34889701]), 0.1559887301757007, 0), Fitness: 0.1559887301757007
Generation 7: Best solution: (array([11.98725113,  1.59488759,  1.34889701]), 0.1559887301757007, 0), Fitness: 0.1559887301757007
Generation 8: Best solution: (array([11.98725113,  1.59488759,  1.34889701]), 0.1559887301757007, 0), Fitness: 0.1559887301757007
Generation 9: Best solution: (array([11.98725113,  1.59488759,  1.34889701]), 0.1559887301757007, 0), Fitness: 0.1559887301757007
Generation 10: Best solution: (array([11.98725113,  1.59488759,  1.34889701]), 0.1559887301757007, 0), Fitness: 0.1559887301757007
Generation 11: Best solution: (array([11.98725113,  1.59488759,  1.34889701]), 0.1559887301757007, 0), Fitness: 0.1559887301757007
Generation 12: Best solution: (array([11.98725113,  1.59488759,  1.34889701]), 0.1559887301757007, 0), Fitness: 0.1559887301757007
Generation 13: Best solution: (array([11.98725113,  1.59488759,  1.34889701]), 0.1559887301757007, 0), Fitness: 0.1559887301757007
Generation 14: Best solution: (array([11.98725113,  1.59488759,  1.34889701]), 0.1559887301757007, 0), Fitness: 0.1559887301757007
Generation 15: Best solution: (array([11.98725113,  1.59488759,  1.34889701]), 0.1559887301757007, 0), Fitness: 0.1559887301757007
Generation 16: Best solution: (array([11.98725113,  1.59488759,  1.34889701]), 0.1559887301757007, 0), Fitness: 0.1559887301757007
Generation 17: Best solution: (array([11.98725113,  1.59488759,  1.34889701]), 0.1559887301757007, 0), Fitness: 0.1559887301757007
Generation 18: Best solution: (array([11.98725113,  1.59488759,  1.34889701]), 0.1559887301757007, 0), Fitness: 0.1559887301757007
Generation 19: Best solution: (array([11.98725113,  1.59488759,  1.34889701]), 0.1559887301757007, 0), Fitness: 0.1559887301757007
Generation 20: Best solution: (array([11.98725113,  1.59488759,  1.34889701]), 0.1559887301757007, 0), Fitness: 0.1559887301757007
Generation 21: Best solution: (array([11.98725113,  1.59488759,  1.34889701]), 0.1559887301757007, 0), Fitness: 0.1559887301757007
Generation 22: Best solution: (array([11.98725113,  1.59488759,  1.34889701]), 0.1559887301757007, 0), Fitness: 0.1559887301757007
Generation 23: Best solution: (array([11.98725113,  1.59488759,  1.34889701]), 0.1559887301757007, 0), Fitness: 0.1559887301757007
Generation 24: Best solution: (array([11.98725113,  1.59488759,  1.34889701]), 0.1559887301757007, 0), Fitness: 0.1559887301757007
Generation 25: Best solution: (array([11.98725113,  1.59488759,  1.34889701]), 0.1559887301757007, 0), Fitness: 0.1559887301757007
