Generation 1: Best solution: (array([16.60309206, 15.50657007,  3.30472813]), 0.1944651951904205, 192), Fitness: 0.1944651951904205
Generation 2: Best solution: (array([16.60309206, 15.50657007,  3.30472813]), 0.1944651951904205, 0), Fitness: 0.1944651951904205
Generation 1: Best solution: (array([11.50395472, 18.69928993, 23.22722618]), 0.1922241076252668, 130), Fitness: 0.1922241076252668
Generation 2: Best solution: (array([11.50395472, 18.69928993, 23.22722618]), 0.1922241076252668, 0), Fitness: 0.1922241076252668
Generation 3: Best solution: (array([22.75297759, 41.13985303, 43.13750817]), 1000.0, 144), Fitness: 1000.0
Generation 4: Best solution: (array([22.75297759, 41.13985303, 43.13750817]), 1000.0, 0), Fitness: 1000.0
Generation 5: Best solution: (array([22.75297759, 41.13985303, 43.13750817]), 1000.0, 0), Fitness: 1000.0
Generation 6: Best solution: (array([22.75297759, 41.13985303, 43.13750817]), 1000.0, 0), Fitness: 1000.0
Generation 7: Best solution: (array([22.75297759, 41.13985303, 43.13750817]), 1000.0, 0), Fitness: 1000.0
Generation 8: Best solution: (array([22.75297759, 41.13985303, 43.13750817]), 1000.0, 0), Fitness: 1000.0
Generation 9: Best solution: (array([22.75297759, 41.13985303, 43.13750817]), 1000.0, 0), Fitness: 1000.0
Generation 10: Best solution: (array([22.75297759, 41.13985303, 43.13750817]), 1000.0, 0), Fitness: 1000.0
Generation 11: Best solution: (array([22.75297759, 41.13985303, 43.13750817]), 1000.0, 0), Fitness: 1000.0
Generation 12: Best solution: (array([22.75297759, 41.13985303, 43.13750817]), 1000.0, 0), Fitness: 1000.0
Generation 13: Best solution: (array([22.75297759, 41.13985303, 43.13750817]), 1000.0, 0), Fitness: 1000.0
Generation 14: Best solution: (array([22.75297759, 41.13985303, 43.13750817]), 1000.0, 0), Fitness: 1000.0
Generation 15: Best solution: (array([22.75297759, 41.13985303, 43.13750817]), 1000.0, 0), Fitness: 1000.0
Generation 16: Best solution: (array([22.75297759, 41.13985303, 43.13750817]), 1000.0, 0), Fitness: 1000.0
Generation 17: Best solution: (array([22.75297759, 41.13985303, 43.13750817]), 1000.0, 0), Fitness: 1000.0
Generation 18: Best solution: (array([22.75297759, 41.13985303, 43.13750817]), 1000.0, 0), Fitness: 1000.0
Generation 19: Best solution: (array([22.75297759, 41.13985303, 43.13750817]), 1000.0, 0), Fitness: 1000.0
Generation 20: Best solution: (array([22.75297759, 41.13985303, 43.13750817]), 1000.0, 0), Fitness: 1000.0
Generation 21: Best solution: (array([22.75297759, 41.13985303, 43.13750817]), 1000.0, 0), Fitness: 1000.0
Generation 22: Best solution: (array([22.75297759, 41.13985303, 43.13750817]), 1000.0, 0), Fitness: 1000.0
Generation 23: Best solution: (array([22.75297759, 41.13985303, 43.13750817]), 1000.0, 0), Fitness: 1000.0
Generation 24: Best solution: (array([22.75297759, 41.13985303, 43.13750817]), 1000.0, 0), Fitness: 1000.0
Generation 25: Best solution: (array([22.75297759, 41.13985303, 43.13750817]), 1000.0, 0), Fitness: 1000.0
