Generation 1: Best solution: (array([14.64800285, 11.39891259, 34.22699805]), 0.004871004422278573, 113), Fitness: 0.004871004422278573
Generation 2: Best solution: (array([14.64800285, 11.39891259, 34.22699805]), 0.004871004422278573, 0), Fitness: 0.004871004422278573
Generation 3: Best solution: (array([14.64800285, 11.39891259, 34.22699805]), 0.004871004422278573, 0), Fitness: 0.004871004422278573
Generation 4: Best solution: (array([14.64800285, 11.39891259, 34.22699805]), 0.004871004422278573, 0), Fitness: 0.004871004422278573
Generation 5: Best solution: (array([14.64800285, 11.39891259, 34.22699805]), 0.004871004422278573, 0), Fitness: 0.004871004422278573
Generation 6: Best solution: (array([14.64800285, 11.39891259, 34.22699805]), 0.004871004422278573, 0), Fitness: 0.004871004422278573
Generation 7: Best solution: (array([14.64800285, 11.39891259, 34.22699805]), 0.004871004422278573, 0), Fitness: 0.004871004422278573
Generation 8: Best solution: (array([14.64800285, 11.39891259, 34.22699805]), 0.004871004422278573, 0), Fitness: 0.004871004422278573
Generation 9: Best solution: (array([14.64800285, 11.39891259, 34.22699805]), 0.004871004422278573, 0), Fitness: 0.004871004422278573
Generation 10: Best solution: (array([14.64800285, 11.39891259, 34.22699805]), 0.004871004422278573, 0), Fitness: 0.004871004422278573
Generation 11: Best solution: (array([14.64800285, 11.39891259, 34.22699805]), 0.004871004422278573, 0), Fitness: 0.004871004422278573
Generation 12: Best solution: (array([14.64800285, 11.39891259, 34.22699805]), 0.004871004422278573, 0), Fitness: 0.004871004422278573
Generation 13: Best solution: (array([14.64800285, 11.39891259, 34.22699805]), 0.004871004422278573, 0), Fitness: 0.004871004422278573
Generation 14: Best solution: (array([14.64800285, 11.39891259, 34.22699805]), 0.004871004422278573, 0), Fitness: 0.004871004422278573
Generation 15: Best solution: (array([14.64800285, 11.39891259, 34.22699805]), 0.004871004422278573, 0), Fitness: 0.004871004422278573
Generation 16: Best solution: (array([14.64800285, 11.39891259, 34.22699805]), 0.004871004422278573, 0), Fitness: 0.004871004422278573
Generation 17: Best solution: (array([14.64800285, 11.39891259, 34.22699805]), 0.004871004422278573, 0), Fitness: 0.004871004422278573
Generation 18: Best solution: (array([14.64800285, 11.39891259, 34.22699805]), 0.004871004422278573, 0), Fitness: 0.004871004422278573
Generation 19: Best solution: (array([14.64800285, 11.39891259, 34.22699805]), 0.004871004422278573, 0), Fitness: 0.004871004422278573
Generation 20: Best solution: (array([14.64800285, 11.39891259, 34.22699805]), 0.004871004422278573, 0), Fitness: 0.004871004422278573
Generation 21: Best solution: (array([14.64800285, 11.39891259, 34.22699805]), 0.004871004422278573, 0), Fitness: 0.004871004422278573
Generation 22: Best solution: (array([14.64800285, 11.39891259, 34.22699805]), 0.004871004422278573, 0), Fitness: 0.004871004422278573
Generation 23: Best solution: (array([14.64800285, 11.39891259, 34.22699805]), 0.004871004422278573, 0), Fitness: 0.004871004422278573
Generation 24: Best solution: (array([14.64800285, 11.39891259, 34.22699805]), 0.004871004422278573, 0), Fitness: 0.004871004422278573
Generation 25: Best solution: (array([14.64800285, 11.39891259, 34.22699805]), 0.004871004422278573, 0), Fitness: 0.004871004422278573
