Generation 1: Best solution: (array([ 2.50670288, 36.81923952,  2.89767004]), 0.0064094153602976996, 136), Fitness: 0.0064094153602976996
Generation 2: Best solution: (array([ 2.50670288, 36.81923952,  2.89767004]), 0.0064094153602976996, 0), Fitness: 0.0064094153602976996
Generation 3: Best solution: (array([ 2.50670288, 36.81923952,  2.89767004]), 0.0064094153602976996, 0), Fitness: 0.0064094153602976996
Generation 4: Best solution: (array([ 2.50670288, 36.81923952,  2.89767004]), 0.0064094153602976996, 0), Fitness: 0.0064094153602976996
Generation 5: Best solution: (array([ 2.50670288, 36.81923952,  2.89767004]), 0.0064094153602976996, 0), Fitness: 0.0064094153602976996
Generation 6: Best solution: (array([ 2.50670288, 36.81923952,  2.89767004]), 0.0064094153602976996, 0), Fitness: 0.0064094153602976996
Generation 7: Best solution: (array([ 2.50670288, 36.81923952,  2.89767004]), 0.0064094153602976996, 0), Fitness: 0.0064094153602976996
Generation 8: Best solution: (array([ 2.50670288, 36.81923952,  2.89767004]), 0.0064094153602976996, 0), Fitness: 0.0064094153602976996
Generation 9: Best solution: (array([ 2.50670288, 36.81923952,  2.89767004]), 0.0064094153602976996, 0), Fitness: 0.0064094153602976996
Generation 10: Best solution: (array([ 2.50670288, 36.81923952,  2.89767004]), 0.0064094153602976996, 0), Fitness: 0.0064094153602976996
Generation 11: Best solution: (array([ 2.50670288, 36.81923952,  2.89767004]), 0.0064094153602976996, 0), Fitness: 0.0064094153602976996
Generation 12: Best solution: (array([ 2.50670288, 36.81923952,  2.89767004]), 0.0064094153602976996, 0), Fitness: 0.0064094153602976996
Generation 13: Best solution: (array([ 2.50670288, 36.81923952,  2.89767004]), 0.0064094153602976996, 0), Fitness: 0.0064094153602976996
Generation 14: Best solution: (array([ 2.50670288, 36.81923952,  2.89767004]), 0.0064094153602976996, 0), Fitness: 0.0064094153602976996
Generation 15: Best solution: (array([ 2.50670288, 36.81923952,  2.89767004]), 0.0064094153602976996, 0), Fitness: 0.0064094153602976996
Generation 16: Best solution: (array([ 2.50670288, 36.81923952,  2.89767004]), 0.0064094153602976996, 0), Fitness: 0.0064094153602976996
Generation 17: Best solution: (array([ 2.50670288, 36.81923952,  2.89767004]), 0.0064094153602976996, 0), Fitness: 0.0064094153602976996
Generation 18: Best solution: (array([ 2.50670288, 36.81923952,  2.89767004]), 0.0064094153602976996, 0), Fitness: 0.0064094153602976996
Generation 19: Best solution: (array([ 2.50670288, 36.81923952,  2.89767004]), 0.0064094153602976996, 0), Fitness: 0.0064094153602976996
Generation 20: Best solution: (array([ 2.50670288, 36.81923952,  2.89767004]), 0.0064094153602976996, 0), Fitness: 0.0064094153602976996
Generation 21: Best solution: (array([ 2.50670288, 36.81923952,  2.89767004]), 0.0064094153602976996, 0), Fitness: 0.0064094153602976996
Generation 22: Best solution: (array([ 2.50670288, 36.81923952,  2.89767004]), 0.0064094153602976996, 0), Fitness: 0.0064094153602976996
Generation 23: Best solution: (array([ 2.50670288, 36.81923952,  2.89767004]), 0.0064094153602976996, 0), Fitness: 0.0064094153602976996
Generation 24: Best solution: (array([ 2.50670288, 36.81923952,  2.89767004]), 0.0064094153602976996, 0), Fitness: 0.0064094153602976996
Generation 25: Best solution: (array([ 2.50670288, 36.81923952,  2.89767004]), 0.0064094153602976996, 0), Fitness: 0.0064094153602976996
