Generation 1: Best solution: (array([ 4.29031441, 30.906494  , 16.29788285]), 0.0024959534940569013, 255), Fitness: 0.0024959534940569013
Generation 2: Best solution: (array([ 4.29031441, 30.906494  , 16.29788285]), 0.0024959534940569013, 0), Fitness: 0.0024959534940569013
Generation 3: Best solution: (array([ 4.29031441, 30.906494  , 16.29788285]), 0.0024959534940569013, 0), Fitness: 0.0024959534940569013
Generation 4: Best solution: (array([ 4.29031441, 30.906494  , 16.29788285]), 0.0024959534940569013, 0), Fitness: 0.0024959534940569013
Generation 5: Best solution: (array([ 4.29031441, 30.906494  , 16.29788285]), 0.0024959534940569013, 0), Fitness: 0.0024959534940569013
Generation 6: Best solution: (array([ 4.29031441, 30.906494  , 16.29788285]), 0.0024959534940569013, 0), Fitness: 0.0024959534940569013
Generation 7: Best solution: (array([ 4.29031441, 30.906494  , 16.29788285]), 0.0024959534940569013, 0), Fitness: 0.0024959534940569013
Generation 8: Best solution: (array([ 4.29031441, 30.906494  , 16.29788285]), 0.0024959534940569013, 0), Fitness: 0.0024959534940569013
Generation 9: Best solution: (array([ 4.29031441, 30.906494  , 16.29788285]), 0.0024959534940569013, 0), Fitness: 0.0024959534940569013
Generation 10: Best solution: (array([ 4.29031441, 30.906494  , 16.29788285]), 0.0024959534940569013, 0), Fitness: 0.0024959534940569013
Generation 11: Best solution: (array([ 4.29031441, 30.906494  , 16.29788285]), 0.0024959534940569013, 0), Fitness: 0.0024959534940569013
Generation 12: Best solution: (array([ 4.29031441, 30.906494  , 16.29788285]), 0.0024959534940569013, 0), Fitness: 0.0024959534940569013
Generation 13: Best solution: (array([ 4.29031441, 30.906494  , 16.29788285]), 0.0024959534940569013, 0), Fitness: 0.0024959534940569013
Generation 14: Best solution: (array([ 4.29031441, 30.906494  , 16.29788285]), 0.0024959534940569013, 0), Fitness: 0.0024959534940569013
Generation 15: Best solution: (array([ 4.29031441, 30.906494  , 16.29788285]), 0.0024959534940569013, 0), Fitness: 0.0024959534940569013
Generation 16: Best solution: (array([ 4.29031441, 30.906494  , 16.29788285]), 0.0024959534940569013, 0), Fitness: 0.0024959534940569013
Generation 17: Best solution: (array([ 4.29031441, 30.906494  , 16.29788285]), 0.0024959534940569013, 0), Fitness: 0.0024959534940569013
Generation 18: Best solution: (array([ 4.29031441, 30.906494  , 16.29788285]), 0.0024959534940569013, 0), Fitness: 0.0024959534940569013
Generation 19: Best solution: (array([ 4.29031441, 30.906494  , 16.29788285]), 0.0024959534940569013, 0), Fitness: 0.0024959534940569013
Generation 20: Best solution: (array([ 4.29031441, 30.906494  , 16.29788285]), 0.0024959534940569013, 0), Fitness: 0.0024959534940569013
Generation 21: Best solution: (array([ 4.29031441, 30.906494  , 16.29788285]), 0.0024959534940569013, 0), Fitness: 0.0024959534940569013
Generation 22: Best solution: (array([ 4.29031441, 30.906494  , 16.29788285]), 0.0024959534940569013, 0), Fitness: 0.0024959534940569013
Generation 23: Best solution: (array([ 4.29031441, 30.906494  , 16.29788285]), 0.0024959534940569013, 0), Fitness: 0.0024959534940569013
Generation 24: Best solution: (array([ 4.29031441, 30.906494  , 16.29788285]), 0.0024959534940569013, 0), Fitness: 0.0024959534940569013
Generation 25: Best solution: (array([ 4.29031441, 30.906494  , 16.29788285]), 0.0024959534940569013, 0), Fitness: 0.0024959534940569013
