Generation 1: Best solution: (array([43.8126484 ,  6.42690804, 47.58715438]), 0.15120836081881786, 0), Fitness: 0.15120836081881786
Generation 2: Best solution: (array([43.8126484 ,  6.42690804, 47.58715438]), 0.15120836081881786, 0), Fitness: 0.15120836081881786
Generation 3: Best solution: (array([43.8126484 ,  6.42690804, 47.58715438]), 0.15120836081881786, 0), Fitness: 0.15120836081881786
Generation 4: Best solution: (array([43.8126484 ,  6.42690804, 47.58715438]), 0.15120836081881786, 0), Fitness: 0.15120836081881786
Generation 5: Best solution: (array([43.8126484 ,  6.42690804, 47.58715438]), 0.15120836081881786, 0), Fitness: 0.15120836081881786
Generation 6: Best solution: (array([43.8126484 ,  6.42690804, 47.58715438]), 0.15120836081881786, 0), Fitness: 0.15120836081881786
Generation 7: Best solution: (array([43.8126484 ,  6.42690804, 47.58715438]), 0.15120836081881786, 0), Fitness: 0.15120836081881786
Generation 8: Best solution: (array([43.8126484 ,  6.42690804, 47.58715438]), 0.15120836081881786, 0), Fitness: 0.15120836081881786
Generation 9: Best solution: (array([43.8126484 ,  6.42690804, 47.58715438]), 0.15120836081881786, 0), Fitness: 0.15120836081881786
Generation 10: Best solution: (array([43.8126484 ,  6.42690804, 47.58715438]), 0.15120836081881786, 0), Fitness: 0.15120836081881786
Generation 11: Best solution: (array([43.8126484 ,  6.42690804, 47.58715438]), 0.15120836081881786, 0), Fitness: 0.15120836081881786
Generation 12: Best solution: (array([43.8126484 ,  6.42690804, 47.58715438]), 0.15120836081881786, 0), Fitness: 0.15120836081881786
Generation 13: Best solution: (array([43.8126484 ,  6.42690804, 47.58715438]), 0.15120836081881786, 0), Fitness: 0.15120836081881786
Generation 14: Best solution: (array([43.8126484 ,  6.42690804, 47.58715438]), 0.15120836081881786, 0), Fitness: 0.15120836081881786
Generation 15: Best solution: (array([43.8126484 ,  6.42690804, 47.58715438]), 0.15120836081881786, 0), Fitness: 0.15120836081881786
Generation 16: Best solution: (array([43.8126484 ,  6.42690804, 47.58715438]), 0.15120836081881786, 0), Fitness: 0.15120836081881786
Generation 17: Best solution: (array([43.8126484 ,  6.42690804, 47.58715438]), 0.15120836081881786, 0), Fitness: 0.15120836081881786
Generation 18: Best solution: (array([43.8126484 ,  6.42690804, 47.58715438]), 0.15120836081881786, 0), Fitness: 0.15120836081881786
Generation 19: Best solution: (array([43.8126484 ,  6.42690804, 47.58715438]), 0.15120836081881786, 0), Fitness: 0.15120836081881786
Generation 20: Best solution: (array([43.8126484 ,  6.42690804, 47.58715438]), 0.15120836081881786, 0), Fitness: 0.15120836081881786
Generation 21: Best solution: (array([43.8126484 ,  6.42690804, 47.58715438]), 0.15120836081881786, 0), Fitness: 0.15120836081881786
Generation 22: Best solution: (array([43.8126484 ,  6.42690804, 47.58715438]), 0.15120836081881786, 0), Fitness: 0.15120836081881786
Generation 23: Best solution: (array([43.8126484 ,  6.42690804, 47.58715438]), 0.15120836081881786, 0), Fitness: 0.15120836081881786
Generation 24: Best solution: (array([43.8126484 ,  6.42690804, 47.58715438]), 0.15120836081881786, 0), Fitness: 0.15120836081881786
Generation 25: Best solution: (array([43.8126484 ,  6.42690804, 47.58715438]), 0.15120836081881786, 0), Fitness: 0.15120836081881786
